words,example
A Priori,"A priori, il y a 6 solutions, A posteriori, il y en a 6."
A Priori|Exhaustif,"A priori, je donne un critère non exhaustif, puis j'élague."
A posteriori,"A posteriori, cette hypothèse était donc vraie."
A posteriori,"Votre raisonnement est parfaitement correct, la fonction ln est non bornée en 0, il s'agit donc d'une intégrale généralisée et la réponse est a priori non triviale (mais a posteriori triviale, j'espère que vous n'avez pas oublié le discours !). Le critère de Riemann assure la convergence."
Ab imo pectore,"Je vous remercie ab imo pectore pour cette prestation fort convaincante !"
Ab imo pectore,"Juste un petit message pour vous notifier une pointe de déréliction ab  imo pectore ressentie face à la moyenne de cette classe…"
Ab irato,"On vitupère ab irato ?"
Abscons,"C'est très abscons ce que vous dites là…"
Abscons,"C'est un délire non moins abscons !"
Abstrusion,"C'est d'une abstrusion indicible !"
Acrimonie,"Car dans son élan acrimonieux, Diddlina, ainsi que Diddle auraient dû remarquer que la courbe que faisait le collier était une chaînette… un cosinus hyperbolique !!!"
Acrimonie|Fielleux,"Une petite acrimonie fielleuse ?"
Ad Patres,"Toto a un tonton d'Amérique richissime qui vient d'aller ad patres, laissant un héritage colossal. (cf. histoires)"
Ad Patres,"Toto ayant résolu la petite énigme édictée dans le testament du Tonton d'Armorique parti ad patres vient d'accéder à la ploutocratie : il est devenu richissime. Aujourd'hui, nous avons affaire à un grand expert de numismatique et brasse les valeurs fiduciaires à tour de bras. (cf. histoires)"
Ad augusta per angusta|Catabatique,"Pour le cas général, il faudra peut-être procéder ad augusta per angusta et adopter un modus opérandi suivant un vent catabatique…"
Ad hoc,"Je reconnais ne plus être original mais ce sont les mots ad hoc qui me viennent hic et nunc à l'esprit !"
Ad hoc,"Je vais choisir un N(0) ad hoc."
Ad libitum,"Et puis on continue de développer ad libitum."
Ad libitum,"On ne va pas tergiverser là-dessus ad libitum."
Ad litteram,"Cette formule s'applique bestialement, Ad litteram…."
Ad litteram,"Les exemples paradigmatiques, au moins, peuvent être pris ad litteram !"
Aduler|Génuflexion|Apostolique,"Vous avez aimé le 4ème degré ? Vous allez aduler dans une génuflexion apostolique le 5ème…"
Affidé,"Signé: Votre affidé stipendié. (cf. Correspondance)"
Affidé|Plénipotentiaire,"Chers affidés réunis en condominium plénipotentiaire, bonjour ! (cf. Correspondance)"
Affiquet,"Diddle s'est pris une bonne raclée verbale par Diddlina affublée de ses colifichets et autres affiquets en sustentation autour de son cou. (cf. Histoires)"
Aficionados,"Pour les aficionados des fonctions hyperboliques, vous pouvez démontrer le reste du formulaire trigonométrique…"
Alacrité,"Vous n'imaginez pas l'alacrité dans laquelle ça me plonge…"
Alambiqué,"M. Millon, ne nous servez pas vos ratiocinations ampoulées et alambiquées!"
